"category","month_year","volume_product","sales_product"
informatica_acessorios,"07-2017",328,38834.9
automotivo,"09-2017",108,14544.67
beleza_saude,"03-2018",674,90114.4
brinquedos,"08-2018",170,17753.05
consoles_games,"05-2018",54,5664.07
moveis_decoracao,"08-2017",437,35550.13
eletrodomesticos,"05-2017",28,1912.79
fashion_bolsas_e_acessorios,"06-2018",87,7869.95
eletroportateis,"11-2017",31,7826.82
papelaria,"01-2018",397,41023.91
moveis_decoracao,"10-2017",379,30227.51
moveis_sala,"05-2017",34,4929.43
papelaria,"12-2017",251,25731.0
cama_mesa_banho,"05-2018",747,71702.77
beleza_saude,"03-2017",211,25995.25
industria_comercio_e_negocios,"07-2018",14,4697.21
moveis_decoracao,"01-2018",612,55438.18
bebes,"04-2017",51,3980.45
relogios_presentes,"04-2017",97,23487.78
cool_stuff,"09-2017",207,38210.34
fashion_bolsas_e_acessorios,"03-2017",68,4861.16
esporte_lazer,"08-2018",475,51500.16
"","05-2018",43,3136.94
informatica_acessorios,"06-2018",408,42326.45
consoles_games,"04-2018",48,7239.4
brinquedos,"06-2018",191,21221.45
ferramentas_jardim,"02-2017",72,13144.61
informatica_acessorios,"04-2017",136,20691.06
cama_mesa_banho,"07-2018",625,55102.72
relogios_presentes,"02-2018",337,63462.18
alimentos,"06-2017",1,149.9
cama_mesa_banho,"04-2018",746,72357.25
brinquedos,"05-2018",221,31767.3
automotivo,"02-2018",319,41706.89
bebidas,"08-2018",30,1477.23
cama_mesa_banho,"10-2017",545,46198.0
moveis_decoracao,"07-2017",320,24751.92
utilidades_domesticas,"05-2017",307,21726.48
construcao_ferramentas_jardim,"01-2018",24,3927.98
esporte_lazer,"06-2018",426,45851.01
utilidades_domesticas,"11-2017",424,35194.32
esporte_lazer,"06-2017",277,32898.33
informatica_acessorios,"01-2018",707,83257.45
informatica_acessorios,"12-2017",287,37880.65
eletrodomesticos,"07-2018",79,5290.63
utilidades_domesticas,"08-2017",288,23733.94
alimentos_bebidas,"07-2017",8,168.2
relogios_presentes,"08-2018",416,72277.06
"","01-2018",208,22489.45
eletronicos,"07-2018",159,11150.75
cama_mesa_banho,"05-2017",369,33346.45
ferramentas_jardim,"03-2017",150,23747.15
utilidades_domesticas,"12-2017",295,25921.95
automotivo,"03-2018",344,44753.24
cama_mesa_banho,"08-2018",658,61035.88
fashion_bolsas_e_acessorios,"10-2017",110,7906.06
"","12-2017",146,16224.92
eletroportateis,"01-2018",55,15450.76
brinquedos,"11-2017",495,64320.89
tablets_impressao_imagem,"04-2017",11,1112.88
moveis_decoracao,"10-2016",67,5807.89
beleza_saude,"05-2018",770,96460.36
telefonia,"12-2017",268,13639.0
alimentos,"08-2018",116,8256.18
perfumaria,"07-2018",207,22715.47
moveis_decoracao,"11-2017",783,63223.97
relogios_presentes,"10-2017",314,65959.53
telefonia,"02-2017",111,6899.09
eletronicos,"08-2018",120,10769.47
beleza_saude,"04-2017",189,22935.75
utilidades_domesticas,"03-2018",407,37514.44
esporte_lazer,"07-2018",471,55446.58
brinquedos,"01-2018",165,21948.23
moveis_decoracao,"05-2017",279,24028.51
livros_interesse_geral,"09-2017",15,965.14
market_place,"02-2017",22,1688.22
eletrodomesticos,"08-2018",65,6584.4
moveis_decoracao,"05-2018",606,54330.88
perfumaria,"04-2017",105,19891.11
casa_construcao,"07-2018",61,6780.15
alimentos_bebidas,"05-2017",17,416.29
automotivo,"07-2017",118,14267.64
perfumaria,"12-2017",241,27864.43
bebes,"07-2018",222,22185.96
papelaria,"02-2018",160,11909.0
bebes,"04-2018",244,49821.84
cama_mesa_banho,"01-2018",848,76377.79
construcao_ferramentas_seguranca,"06-2018",16,2565.37
moveis_decoracao,"09-2017",348,30838.69
telefonia,"11-2017",383,26564.88
telefonia,"03-2018",346,25850.87
ferramentas_jardim,"06-2018",185,18018.71
relogios_presentes,"07-2017",168,36804.56
cama_mesa_banho,"09-2017",533,52473.2
cool_stuff,"02-2018",188,31112.11
livros_tecnicos,"05-2018",56,3055.48
malas_acessorios,"08-2017",63,6833.1
perfumaria,"03-2018",203,20521.15
telefonia,"08-2018",277,37541.89
brinquedos,"06-2017",158,15476.35
informatica_acessorios,"10-2017",322,44022.09
"","03-2017",63,6714.17
fashion_bolsas_e_acessorios,"02-2017",39,2374.11
brinquedos,"03-2018",235,23445.65
cool_stuff,"04-2018",207,35202.4
moveis_decoracao,"12-2017",391,32060.75
